Lidepla,Type,English,Russian,Source
nadi ,zwo, (zwo) hope,надеяться; nada надежда; sinnada-ney (sinnade) безнадёжный; sinnaditaa безнадёжность,
nada ,kwo, (kwo) hope,,
sinnada-ney (sinnade) ,kwo, (kwo) hopeless,,
sinnaditaa ,kwo, (kwo) hopelessness,,Serbian
nafra ,kwo," (kwo) aversion, disgust, abomination",отвращение; nafra-ney (nafre) отвратительный; nafri (fai nafra om) питать отвращение,
nafra-ney (nafre) ,kwel," (kwel) abominable, repulsive, detestable",,
nafri ,zwo, (zwo) abominate,,Arabic
nafta ,kwo," (kwo) (mineral) oil, petroleum",нефть,Arabic
naga ,kwo, (kwo) nail (of metal ,"гвоздь; nagi забивать гвозди; прибивать (гвоздями), пригвоздить; naging прибивание, забивание",
nagi ,zwo, (zwo) nail,,
nagle ,kwel," (kwel) impudent, insolent, impertinent","наглый; дерзкий; naglitaa наглость; nagla (naglo, naglina) наглец, нахал",
naglitaa ,kwo," (kwo) impudence, insolence",,
"nagla (naglo, naglina) ",kwo, (kwo) impudent/insolent fellow,,Russian
Naijiria ,kwo, (kwo) Nigeria,Нигерия,
nailon ,kwo, (kwo) nylon,нейлон,
naive ,kwel, (kwel) naive,"наивный; naiva, naivnik наивный человек",
"naiva, naivnik ",kwo, (kwo) naive person,,
naka ,kwo, (kwo) nail; claw,ноготь; коготь,Hindi
nakali ,zwo, (zwo) incandesce,"накалять(ся), раскалять(ся); nakali-ney раскалённый",
nakali-ney ,kwel, (kwel) incandesced,,Russian
nal ,kwo, (kwo) horseshoe,подкова,Hindi
naloga ,kwo, (kwo) tax (money paid to the government),налог,Russian
nam ,kwo, (kwo) name,"имя; nami именовать(ся), называть(ся). Komo yu nami? Как тебя зовут? me nami Misha меня зовут Миша; Komo yu nami yur doga? Как ты называешь свою собаку? Namem - а именно. Samnam-ney одноимённый; samnamjen тёзка",
nami ,zwo," (zwo) name; be named, be called",,
Komo yu nami? ,, What is your name?,,
Me nami Jon. ,, My name is John.,,
namem ,komo, (komo) namely,,
samnam-ney ,kwel, (kwel) of the same name,,
samnamjen ,kwo, (kwo) namesake,,Hindi
namastee ,exklami, (exklami) hello; good-bye,здравствуй(те),Hindi
namba ,kwo," (kwo) number (cf. ""numer"")",число (тж.количество),
gran namba ,, big number,,
pare namba ,, even number,,
namba expresa ,, numerical expression,,
Namibia ,kwo, (kwo) Namibia,Намибия,
namre ,kwel, (kwel) modest,"скромный; смиренный, кроткий; namritaa скромность; смиренность; кротость",
namrem ,komo, (komo) modestly,,
namritaa ,kwo, (kwo) modesty,,Hindi
nana ,kwo, (kwo) nurse,"няня; hospital nana, mednana медсестра",
hospital nana ,, hospital nurse,,
mednana (medike nana) ,, nurse (for the sick),,
nangwa ,kwo, (kwo) pumpkin,тыква,Mandarin
Nanzing ,kwo, (kwo) Nanjing,Нанкин,
nargila ,kwo, (kwo) hookah,кальян,Persian
narko ,kwo," (kwo) narcotic, addictive drug",наркотик,
narkolepsia ,kwo, (kwo) narcolepsy,нарколепсия,
narsis ,kwo," (kwo) daffodil, narcissus",нарцисс,
nasha ,kwo, (kwo) intoxication (any kind of),"дурман, опьянение; nashisi одурманить, притупить сознание, опьянить; nashi-she дурманящий",
nashisi ,zwo," (zwo) stupefy, befuddle, besot, intoxicate",,
nashi-she ,kwel," (kwel) befuddling, intoxicating",,Hindi
nasion ,kwo, (kwo) nation,нация; nasion-ney национальный; internasion-ney интернациональный,
nasion-ney ,kwel, (kwel) national,,
natryum ,kwo," (kwo) sodium, natrium",натрий,German
natura ,kwo, (kwo) nature,"природа; натура: abyas es dwa-ney natura привычка — вторая натура; naturale природный, натуральный; естественный; naturalem естественно; конечно, разумеется; naturalitaa естественность",
abyas es dwa-ney natura ,, habit is second nature,,
naturale ,kwel, (kwel) natural,,
naturalem ,komo, (komo) naturally,,
naturalitaa ,kwo, (kwo) naturalness,,
naturmorta ,kwo, (kwo) still life (work of art),натюрморт,
nau ,, (taim-komo) now,"теперь, сейчас; al nau пока что; nau…nau то...то; lo nau настоящее (время); nau-ney теперешний, нынешний",
til nau ,, till now; depos nau ,,
al nau ,komo," (komo) at the moment, presently; nowadays",,
lo nau ,kwo, (kwo) the present (time),,
nau...nau ,konekti, (konekti) now...now,,
"Nau ta silensi, nau shwo mucho. ",," Now he keeps silent, now he speaks much.",,
nau-ney ,kwel," (kwel) present, actual, today's, current",,
navigi ,zwo," (zwo) navigate, sail","плавать, совершать плавание (на судне); naviga навигация",
naviga ,kwo, (kwo) navigation,,
nayu ,kwo, (kwo) butter,масло (сливочное); nayudan маслёнка,
nayudan ,kwo, (kwo) butterdish,,Mandarin
Nederland ,kwo, (kwo) Netherlands,Нидерланды,
nefra ,kwo, (kwo) kidney,почка (анат.),Greek
negative ,kwel, (kwel) negative,негативный; negativa негатив,
negativa ,kwo, (kwo) negative,,
negi ,zwo," (zwo) deny, negate",отрицать; nega отрицание,
nega ,kwo," (kwo) negation Ant.: aserti, konfirmi",,
neglekti ,zwo," (zwo) neglect, treat carelessly, slight, be remiss",пренебрегать; небрежно относиться; neglekta пренебрежение; небрежность,
neglekta ,kwo, (kwo) negligence Ant.: kuydi,,
negra ,kwo," (kwo) a Black person, negro",негр/негритянка; negro негр-мужчина; negrina негритянка,
negro ,kwo, (kwo) a Black male,,
negrina ,kwo, (kwo) Negress,,
nektar ,kwo, (kwo) nectar,нектар,
nektarin ,kwo, (kwo) nectarine,нектарин,
neme ,kwel," (kwel) numb, insensible",онемелый; nemitaa онемелость; nemifi онемевать; затекать,
nemifi ,zwo, (zwo) grow numb,,
nemitaa ,kwel, (kwel) numbness,,
neodimyum ,kwo, (kwo) neodymium (chem.),неодим (хим.),
neon ,kwo, (kwo) neon,неон,
neon-jaopay ,, neon sign,,
Nepal ,kwo, (kwo) Nepal,Непал,
Neptun ,kwo, (kwo) Neptune,Нептун,
Neptun-ney ,kwel, (kwel) Neptunian,,
neptunyum ,kwo, (kwo) neptunium (chem.),нептуний (хим.),
nerva ,kwo, (kwo) nerve,нерв; nerva-ney нервный; nerva-morba нервная болезнь,
nerva-ney ,kwel," (kwel) nerve, nervous",,
nerva-sistema ,, nerve system,,
nerva-morba ,, nervous disease,,
nesese ,kwel," (kwel) necessary (also ""of an inevitable nature"")",необходимый (тж.философ.); nesesitaa необходимость (филос.),
nesesitaa ,kwo, (kwo) necessity,,
nesta ,kwo, (kwo) nest,"гнездо; nesti гнездиться, вить гнёзда",
nesti ,zwo," (zwo) nest, build its nest; nestle",,
neta ,kwo, (kwo) net,сеть; texi neta плести сеть,
texi neta ,, weave a net,,
neurologia ,kwo, (kwo) neurology,неврология,
neuron ,kwo, (kwo) neuron,нейрон,
neutrale ,kwel, (kwel) neutral,нейтральный,
neva ,, (taim-komo) never See also: nulves,"никогда; oni neva jan kwo mog eventi никогда не знаешь, что может произойти",
ney ,, (gramatika) modifier-making particle,Частица –ney оформляет генитив и определения к существительному; с глаголами образует страдательное причастие; с количественными числительными образует порядковые числительные. Brata-ney nam — имя брата. Jen-ney — человеческий. Rude-fas-ney jen — краснолицый человек. Gran-oko-ney gela — большеглазая девочка. Tri-ney - третий,
Tina-ney vos ,, Tina's voice,,
brata-ney nam ,, brother's name,,
jen-ney ,, human,,
chi-ney fan ,, eaten food,,
rude-fas-ney man ,, red-faced man,,
olo es yo zwo-ney ,, everything is already done,,
un-ney ,, first,,
dwa-ney ,, second,,
nem,,adverbial particle,,
un-nem ,," firstly, at first",,
"Un-nem me go a skola, poy a dom. ",," First I go to school, then home.",,
dwa-nem ,, secondly,,
ni ,, (gramatika),"ни: ni yu ni me ни ты, ни я",
ni...ni... ,, neither... nor,,
ni me ni yu ,, neither me nor you Ant.: i,,
Niagara ,kwo," (kwo) ""Niagara River",Ниагара (река); Niagara-akwalwo Ниагарский водопад,
Niagara-akwalwo ,kwo, (kwo) Niagara Falls,,
nich ,, (konekti-komo) down(wards),"(предлог, наречие) вниз, вниз по: go nich идти вниз; nich kolina вниз по холму; nichisi опускать: nichisi handa/kapa опустить руку/голову; nichifi, fa-nich опускаться, понижаться; al kapa nich вниз головой",
go nich ,, to go down,,
nich kolina ,, down the hill,,
nich fluisa ,, downstream,,
nichen ,," (konekti-komo) down (at what place?), at the lower part of","(Предлог, наречие) внизу; в нижней части: lu es nichen он внизу; nichen bey в нижней части спины; nichen kolina внизу холма. fon nichen  – снизу. Om se temi nichen — об этом речь пойдёт ниже.",
Lai nich. Me es nichen. ,, Come down. I am down.,,
nichen bey ,, at the lower part of back,,
nichen kolina ,, at the bottom of the hill.,,
fon nichen ,, from below,,
nichisi ,zwo," (zwo) lower, bring down; turn down",,
nichisi kapa ,, hang one’s head,,
nichisi kansa ,, lower one's gaze,,
"nichifi, fa-nich ",zwo," (zwo) sink, drop, move down",,Hindi
niche ,kwel," (kwel) lower, situated below","нижний, расположенный ниже; zuy niche lif самые нижние листы; nicha низ, нижняя часть; nicha-uupar вверх ногами, вверх дном; turni nicha-uupar перевернуться, опрокинуться; fon nicha til uupara снизу доверху; nichlok низменность, низина",
zuy niche lif ,, lowest leaves,,
nicha ,kwo," (kwo) lower part, bottom",,
nicha-uupar ,," upside down, bottom up",,
fon nicha til uupara ,, from top to bottom,,
nichlok ,kwo," (kwo) lowland, depression",,
nidi ,zwo," (zwo) need, have need of (cf. “treba”)","испытывать нужду, нуждаться в чём-либо; me nidi solitaa nau мне нужно одиночество сейчас. Lu gro-nidi gei konsoli — Он очень нуждается в утешении. Nida — нужда, потребность. Buniden ненужный, лишний",
me nidi reposi ,, I need a rest,,
lu nidi yur helpa ,, he needs your help,,
buniden ,kwel," (kwel) unnecessary, needless",,
nida ,kwo, (kwo) need,,
nihil ,kwo," (kwo) non-being, nil, nothing","небытие, ничто; nihilisi уничтожать; ликвидировать; аннулировать; nihilisa уничтожение; media de masa-ney nihilisa средства массового уничтожения",
nihilisi ,zwo," (zwo) destroy, eliminate, annihilate",,
nihilisa ,kwo," (kwo) destruction, annihilation",,
media de masa-ney nihilisa ,, means of mass annihilation,,
nihon ,," (kwel, kwo) Japanese See also: Nipon",японец; японский; японский язык,
Nijer ,kwo, (kwo) Niger River,Нигер (река),
nijer-kongo-ney ,kwel, (kwel) Niger-Congo,нигеро-конголезский,
nikab ,kwo, (kwo) niqab,"чадра, паранджа",Arabic
Nikaragua ,kwo, (kwo) Nicaragua,Никарагуа,
nikel ,kwo, (kwo) nickel (metal),никель,
niki ,zwo, (zwo) nod,кивать; nika кивок,
nika ,kwo, (kwo) nod,,
Nil ,kwo, (kwo) Nile,Нил (река); Nil-ney krokodil нильский крокодил,
