UROPI,FRANÇAIS,ENGLISH,ESPAÑOL,DEUTSCH,РУССКИЙ,ITALIANO
klonad,clonage,,,,,
klono,cloner,,,,,
klor,couleur,colour,color,Farbe (2),цвет,colore
klora,chlore,,,,,
klorad,coloration,,,,,
kloran,colorant,,,,,
kloren,coloré,coloured,colorado,"gefärbt, farbig",цветной,colorato
klori,"de couleur, en couleurs",colour-,color (de -),"farbig, Farb(en)-",цветовой,colori (a - )
klorid,chlorure,,,,,
kloriglàs,"verre de couleur, vitrail (matériau)",coloured glass,,,,
kloriglasor,vitrailliste,,,,,
klorigraf,crayon de couleur,,,,,
klorigrafo,colorier au crayon,,,,,
klorizo,"colorier, colorer",,,,,
kloro,"colorer, teinter",tint (to),,,,
klost,cloître,cloister,,,,
klot,"motte, grumeau","lump, clod",,,,
klotibrekèl,brise-mottes,,,,,
klotic,grumeleux,lumpy,,,,
klub,club,"club (association, place)",,,,
kluv,fente,"crack, slit, slot",,,,
kluvo,fendre,split (to),,,,
kluz,fermeture (système),fastener,cierre,Verschluß,застёжка,chiusura
kluzad,"fermeture (action), relâche (théâtre)","closing, closure (action)",,,,
kluzen,fermé,closed,,,,
kluzo,"fermer (trans. & intr.), boucler","close, shut",cerrar,schließen,"закрывать, закрыть",chiudere
kluzo ru,refermer,,,,,
ko ?,où ? (interrogatif),where ? where to ?,"dónde ?, ¿ adónde ?",wo ? wohin ?,где ? куда ?,dove ?
koala,koala,,,,,
koapdavo,concéder,concede (to),,,,
koc,"cuisse, gigot",thigh,muslo,Schenkel (m),"бедро, ляжка",coscia
kocàl,convocation,notification,,,,
kocalo,convoquer,summon (to),,,,
kocèl,cuiller,spoon,cuchara,Löffel (m),ложка,cucchiaio
"kocel, pl. -cle","coquille, coquillage",,,,,
kocelit,cuiller (petite),tea spoon,,,,
kocentrad,concentration,concentration,,,,
kocentro (sia -),"concentrer (se -), polariser",,,,,
kocèp,concept,concept,concepto,Begriff,"понятие, концепция",concetto
kocepad,conception,"conceiving, design",,,,
kocepo,concevoir,conceive (to),concebir,begreifen,"зачать, понимать",concepire
kockùs,coqueluche,,,,,
koclian,coquillage (mollusque),shellfish,,,,
kocurad,"conspiration, conjuration, complot",conspiracy,,,,
kocuren,conjuré,,,,,
kocuro,conspirer,"conspire, plot (to)",,,,
kocuror,conspirateur,conspirator,,,,
kod,"code (chiffre, message)",,,,,
kodàv,cadeau,"present, gift",regalo,Geschenk (n),подарок,regalo
kodavo,"faire cadeau, offrir",give a present (to),regalar,schenken,дарить,regalare
kodèl,"affaire (commmerciale, financière)",,,,,
kodele,affaires,business,negocios,Geschäft,"дела, бизнес",affari (com.)
kodeli,d'affaires (adj.),,,,,
kodeli vaiz,voyage d'affaires,business trip,,,,
kodelisma,affairisme,,,,,
kodelìst,affairiste,,,,,
kodelor,homme d'affaires,businessman,hombre de negocios,Geschäftsmann,предприниматель,uomo d'affari
kodeto,"combiner, faire ensemble",,,,,
kodìk,condition (gen.),condition,condición,Bedingung,условие,condizione
kodiki,conditionnel (adj.),conditional (adj),,,,
"kodiki form, mod","conditionnel (N, gram)",,,,,
kodìz,"code (règles, jur.)",code,código,"Kode, Gesetzbuch","кодекс, кодировка",codice
kodole,condoléances,condolences,pésame,Beileid,соболезнование,condoglianze
kodujo,"combiner, associer","combine, associate (to)",,,,
kodutad,conduite (véhicule),,,,,
kodutan,conducteur (adj.),,,,,
koduto,conduire (véhicule),drive (to),conducir (coche),führen,водить (машину),"guidare, condurre"
kodutor,"conducteur, chauffeur (gen.)",driver,conductor,"Fahrer, Führer",водитель,"guidatore, autista"
koefisiènt,coefficient,,,,,
koeglad,comparaison,comparison,comparación,Vergleich,сравнение,paragone
koegli,comparable,,,,,
koeglim ki,par rapport à (compa-raison),,,,,
koeglo,comparer,compare (to),comparar,vergleichen,"сравнивать, сравнить",paragonare
koeldad,complicité (aide),,,,,
koeldor,"complice, acolyte",accomplice,,,,
"kofasen (so, vido - a)",être confronté à,,,,,
kofaso,"faire face à, affronter",face (to),frente / cara (hacer),Spitze bieten (die),"стоять лицом, смело встречать",fronte (far)
kofedad,confidence,,,,,
kofedi,confidentiel,,,,,
kofedid,confidentialité,,,,,
kofedo,confier (dire un secret),,,,,
kofelad,"affinité, entente, complici-té (sentiment)","affinity, harmony, understanding",,,,
kofelan,complice (qui partage le même sentiment),,,,,
kofeli,complice (qui partage le même sentiment),,,,,
kofelo ki,entendre avec (s' - ),get on with (to),,,,
kofer pl. kofre,coffre,,,,,
kofluja,confluent,,,,,
koflujad,"confluence,",,,,,
koflujad kirkistàdis,concours de circonstances,,,,,
koflujo,confluer,,,,,
koformi a,conforme,,,,,
koformid,conformité,,,,,
koformim a,conformément,,,,,
koformisma,conformisme,,,,,
koformìst,conformiste,,,,,
koformo (sia) a,conformer (se),,,,,
kogèn,parent (famille au sens large),relative (N),,,,
kogenad,parenté,kinship,,,,
kogenen,"apparenté, parent (adj.)",related,emparentado,verwandt,родственный,imparentato (agg.)
kogonad,rencontre,meeting,encuentro,Begegnung,встреча,incontro
kogono,rencontrer (se - ),meet (to),encontrar,"treffen, begegnen","встречать, встретить",incontrare
kograbad,accaparement,,,,,
kograbo,accaparer,,,,,
kograbor,accapareur,,,,,
koherdo,s'attrouper,,,,,
koinfàl,coincidence,coincidence,,,,
koinperad,contribution,contribution,,,,
koinperad,cotisation,contribution,,,,
koinperad,cotisation,contribution,,,,
koinpero,contribuer (financièrement) cotiser,contribute (to),,,,
koinpero,contribuer (financièrement) cotiser,contribute (to),,,,
koìslad,archipel,,,,,
koj,queue (animal),tail,cola,Schwanz (m),"хвост, очередь",coda
koj (sto in - ),faire la queue,,,,,
kojùt,conjonction (gram.),,,,,
kojutad,conjonction (union),,,,,
kojuten,conjoint,spouse,,,,
kojuto ki,associer avec (s' -),join together (to),,,,
kokad,cuisine (activité),cooking,,,,
kokatenad,concaténation,,,,,
kokateno,concaténer,,,,,
kokèl,cuisinière (appareil),cooker,cocina (aparato),Herd (n),"плита, печь","fornello, cucina"
koken,cuit,cooked,,,,
kokia,cuisine (lieu),kitchen,cocina,Küche (f),кухня,cucina
kokibìb,livre de cuisine,cookery book,,,,
kokibìb,livre de cuisine,cookery book,,,,
kokivad,cuisson,,,,,
kokivo,cuire (intr.),,,,,
kokizad,cuisson,,,,,
koklicad,"connexion, raccordement (branchement)",connection,,,,
koklico,"brancher, raccorder, connecter",,,,,
koklùz,conclusion,conclusion,conclusión,Schlußfolgerung,заключение,conclusione
kokluzo,conclure,conclude (to),concluir,"schließen,schlußfolgern",заключать,concludere
koko,"cuisiner, cuire (qqch)",cook (to),cocinar,kochen,готовить (пищу),cucinare
kokonòs,noix de coco,coconut,,,,
kokopalmar,cocotier,,,,,
kokopo,accaparer,,,,,
"kokor, -a","cuisinier, -ère",cook,,,,
kokota,"cocotte, poule (femme aux moeurs légères)",,,,,
koktéil,cocktail,,,,,
kokujad,tambouille,,,,,
kokujo,faire une horrible tambouille,,,,,
kokulo (sia),blottir (se - ),,,,,
kokulpi,"complice (adj., jur.)",,,,,
kokulpid,complicité (jur.),,,,,
kokulpor,"complice (N, jur.)",,,,,
kol,cou,neck,cuello (anat.),Hals (m),шея,collo
kolaborad,collaboration (avec l'occupant),,,,,
kolaboro,collaboration (avec l'occupant),,,,,
kolaboror,"collaborateur, collabo",collaborationist,,,,
kolaboror,collabo (guerre),collaborationist,,,,
kolandor,compatriote,fellow-countryman,paisano,Landsmann 2,"земляк, соотечественник",compaesano
kolandor,compatriote,fellow-countryman,paisano,Landsmann 2,"земляк, соотечественник",compaesano
kolàng,balançoire,swing (N),,,,
"kolango, sia kolango","balancer, se -",,,,,
kolar,collier,necklace,collar,"Halskette, Halsband","ожерелье, колье",collana
kolasad,concession,,,,,
"kolaso,",concéder,,,,,
"kolb, -a",pigeon,,,,,
"kolb, kolba",colombe,,,,,
"kolbitòr, kolbia",pigeonnier,,,,,
"kolèg, kolega",collègue,,,,,
kolegia,"collège (polit., etc…)",college (institution),,,,
kolektad,collection,,,,,
kolektad,collection,,,,,
kolekto,collectionner,,,,,
kolekto,collectionner,,,,,
kolektor,collectionneur,,,,,
kolektor,collectionneur,,,,,
kolera,choléra,,,,,
kolia,col (vêtement),collar,cuello (vest.),Kragen,"воротник, ошейник",colletto
kolibrekor,casse-cou,,,,,
kolik,colique,,,,,
kolim,escargot,snail,,,,
kolirol,"fraise (pièce de vêtement, col)",,,,,
koln,colline,hill,colina,Hügel,холм,collina
Koln,Cologne,hill,colina,Hügel,холм,collina
kolni,"avec des collines (adj.), accidenté",,,,,
Kolombia,Colombie,,,,,
"Kolombian, -a","Colombien, -ne",,,,,
kolòn,colonne,column,columna,"Säule, Kolumne","столбец, колонна",colonna
kolonad,colonnade,,,,,
kolonia,colonie,colony,,,,
kolonial,colonial,,,,,
kolonialisma,colonialisme,,,,,
kolonialìst,colonialiste,,,,,
kolonior,colon,,,,,
kolonizad,colonisation,,,,,
kolonizo,coloniser,,,,,
kolonizor,colonisateur,,,,,
kolonor,colonel,,,,,
kolòs,colosse,,,,,
kolosi,colossal,,,,,
koma,virgule,comma,coma,Komma,запятая,virgola
komànd,"commande (ordre, tech.)",command,mandato,"Befehl, Kommando","приказ, команда",commando
komandi,"impérieux, de commandement",,,,,
komandic,"impérieux, commandant (ton, etc.)",,,,,
komando,"commander (ordre, tech.)",command (to),,,,
komandor,commandant,commander,,,,
kombinad,combinaison,,,,,
komedij,comédie,comedy,,,,
komedior,comédien (acteur),,,,,
komènt,commentaire (remarque),comment,,,,
komentar,commentaire (exposé),commentary,,,,
komento,commenter,comment (to),,,,
komentor,commentateur,,,,,
komèrk,commerce,"trade, commerce",,,,
komerki,"commercial, de commerce, marchand (adj)",commercial,comercial,"Handels-, kommerziell","торговый, коммерческий",commerciale
komerkipùnt,comptoir (colonie),,,,,
komerko (ki),commerce (faire du -),,,,,
komerkor,commerçant,shopkeeper,comerciante,"Händler, Kaufmann",торговец,commerciante
komet,comète,,,,,
komèt,change (devises),exchange,cambio,Wechsel,обмен,cambio
kometi skrit,traite (finance),draft (financ.),,,,
kometia,bureau de change,exchange office,oficina de cambio,Wechselstube,обменный пункт,ufficio di cambio
kometo,changer (argent),exchange (to),cambiar (dinero),wechseln,обменивать,cambiare (soldi)
komfòrt,confort,comfort,"confort, comodidad",Bequemlichkeit,"удобства, комфорт","comodità, conforto"
komforti,confortable,comfortable,còmodo,bequem,"удобный, комфортный",comodo
komfortim,confortablement,,,,,
komic,"drôle, comique","funny, comic(al)",cómico,komisch,"смешной, комический",comico
komicad,confusion,confusion,,,,
komicen,"confus (chose, personne)","confused, muddled",,,,
komico,confondre,,,,,
komiki,comique (théât.),,,,,
komikor,comédien (comique),comedian,cómico (el),Komiker,комик,comico (il)
komisiòn,commission (groupe),commission,,,,
komisor,"commissaire (gen., de police)",superintendent,comisario,Kommissar,комиссар,comissario
komisoria,"commissariat, V/ polizia",,,,,
komit,guillemet,inverted comma,,,,
komitad,comité,committee,,,,
komòd,commode (N),chest of drawers,comoda,Kommode (f),комод,"cassettone, comò"
kompakti,compact,compact,,,,
kompàs,boussole,,,,,
kompetèns,compétence,,,,,
komplèks,"complexe (N, psy.)",,,,,
komplèks,"complexe (N, psy.)",,,,,
komplimènt,compliment,compliment,,,,
komplimento,complimenter,,,,,
komplòt,complot,plot,,,,
komploto,comploter,plot (to),,,,
komplotor,comploteur,,,,,
kompòt,compote,stewed fruit,,,,
kompozad,composition (musique),,,,,
kompozo,composer (musique),compose (to) (mus.),,,,
kompozor,compositeur (mus.),composer,,,,
komprès,compresse,,,,,
kompromìz,compromis,,,,,
komputèl,ordinateur,computer,"ordenador, computador",Computer,компьютер,computer
komùn,"commun, usuel",common,,,,
komunad,communauté,community,,,,
komunia,commune,"commune, parish",municipio,Gemeinde,"коммуна, община",comune (il)
komuniad,municipalité,"town council, town",,,,
komunial,communal,,,,,
komunikad,communication,communication,comunicación,"Mitteilung, Verbingung","общение, сообщение",communicazione
komunikic,communicatif,,,,,
komuniko,communiquer,communicate (to),comunicar,"mitteilen, bekanntmachen",сообщать(ся),comunicare
komunim,communément,,,,,
komuniòn,communion,,,,,
komunisma,communisme,communism,,,,
"komunìst, -a",communiste (N),,,,,
komunisti,communiste (adj.),,,,,
komunistic,communisant,,,,,
komuniu,"municipal, communal","municipal, town- (adj.)",,,,
konabli,compétent,competent,,,,
konablid,compétence,competence,,,,
konad,connaissance (gen.),knowledge 2,conocimiento,Kenntnis,"знание, познание",conoscenza 2
konen,connu (général),,,,,
konferèns,conférence,conference,conferencia,Konferenz,конференция,conferenza
konferensor,conférencier,,,,,
konfìt,bonbon,,,,,
konflìt,conflit,conflict,,,,
konflitan,"en conflit, discordant (opinions, etc…)",,,,,
konfliti,conflictuel,conflicting,,,,
kongrès,congrès,congress,,,,
kongresor,congressiste,congressman,,,,
koniàk,cognac,brandy,,,,
konièl,quenouille,,,,,
konik,cône,,,,,
koniki,conique,,,,,
"konìl, konila","lapin, -e",,,,,
konilia,clapier,,,,,
konilit,lapereau,,,,,
konizitad,condescendance,,,,,
konizitan,condescendant,,,,,
koniziti,condescendant,,,,,
konizìto,condescendre,,,,,
konjugad,conjugaison,,,,,
konjugo,conjuguer,,,,,
konkreti,concret,concrete (adj),,,,
konkretim,concrètement,,,,,
konli,connaissable,,,,,
kono,connaître,know (to),conocer,kennen,знать,conoscere
konor,connaisseur,connoisseur,,,,
konsèrt,concert,concert,concierto,Konzert (n),концерт,concerto
konserti hal,salle de concert,concert hall,sala de concierto,Konzertsaal,концертный зал,auditorium
konserve,conserves,,,,,
konstitusiòn,constitution,constitution,constitución,Verfassung,конституция,costituzione
konstitusioni,constitutionnel,,,,,
konsùl,consul,consul,cónsul,Konsul,консул,console
konsulia,consulat,consulate,consulado,Konsulat,консульство,consolato
konsultad,consultation (médicale),consultation,consulta,Sprechstunde,консультация,"visita, consulto (med)"
konsultia,dispensaire,community clinic,,,,
konsulto,consulter (médecin),,,,,
konsumad,consommation,consumption,consumación,Konsum,потребление,consumazione
konsumi,de consommation (adj),consumer-,,,,
konsumisma,consumérisme,,,,,
konsumìst,consumériste,,,,,
konsumo,consommer,consume (to),consumar,konsumieren,потреблять,consumare
konsumor,consommateur,consumer,consumidor,Konsument,потребитель,consumatore
kont,compte,account,cuenta (1),Konto (n),счёт,conto
kontàkt,contact,contact,contacto,Kontakt,"соприкосновение, контакт",continente
kontakti lens,lentille de contact,contact lens,,,,
kontaktilìn,caténaire,,,,,
kontakto,contacter,,,,,
kontan,comptant,,,,,
kontar,comptoir (magasin),counter,mostrador,Ladentisch,прилавок,bancone
kontèkst,contexte,,,,,
kontibìb,livre de comptes,,,,,
kontidavo ov,rendre compte de,,,,,
kontinènt,continent,continent,continente,"Erdteil, Kontinent","континент, материк",continente
kontinenti,continental,continental,,,,
kontitenad,comptabilité,accountancy,,,,
kontiteni,comptable (adj.),,,,,
kontitenor,comptable (N),accountant,contador,Buchführer/-halter,бухгалтер,contabile
konto,compter,count (to),contar,zählen,"считать, подсчитывать",contare
kontràt,contrat,contract,contrato,"Vertrag, Kontrakt","договор, контракт",contratto
kontrati,contractuel (adj.),contract- (-ual),,,,
kontròl,contrôle,control,control,Kontrolle,"контроль, проверка",controllo
kontroli,"vérificateur, de contrôle (adj)",,,,,
kontroliluc,voyant lumineux,,,,,
kontrolo sia kontrolo,contrôler (se - ),,,,,
kontrolor,"contrôleur, vérificateur",controller,"registrador, controlador","Kontrolleur, Schaffner",контроллер,controllore
konuvad,fiançailles,,,,,
konuvo,fiancer (se -),,,,,
konvosi,alternatif,,,,,
kooperatìv,coopérative,,,,,
koòrdo,coordonner,coordinate (to),,,,
koòrdor,coordinateur,coordinateur,,,,
kop,achat (chose achetée),,,,,
kopad,"achat (action), course",purchase,,,,
kopàin,pitié,pity,"lástima, compasión",Mitleid (n),"жалость, сострадание","pietà, compassione"
kopainan,"qui a pitié, compatissant",,,,,
kopaini,pitoyable,"pitiful, pitiable",,,,
kopainic,piteux,,,,,
kopainim,pitoyablement,,,,,
kopaino,pitié (avoir - de),pity (to),lástima (tener),bemitleiden,"жалеть, соболезновать",pietà (provare)
kopàn,copain,"pal, friend, mate",,,,
kopanad,compagnie (présence),company (people),compañia,"Gesellschaft, Begleitung","общество, компания",compagnia
kopanij,"société, intreprise, firme, compagnie",company (firm),sociedad (comercial),Gesellschaft (f),"фирма, предприятие","ente, società"
kopanor,"compagnon, camarade",companion,compañero,"Geselle, Genosse",товарищ,compagno 2
koparo,"accorder (couleurs, etc…)",,,,,
kopartad,partage (fait d'avoir en commun),,,,,
kopartia,compartiment (train),compartment,compartimiento,Abteil (m),купе,compartimento
koparto,partager (avoir en commun),share (to) (2),compartir,teilen,поделиться,condividere
kopatijad,compassion,sympathy,,,,
kopatijan,compatissant,compassionate,,,,
kopatijo,compatir,sympathize (to),,,,
kopatrian,compatriote,,,,,
kope,"achats, courses",,,,,
kopero a,"contribuer à, concourir à",,,,,
kopiar,cahier,copy-book,cuaderno,Heft (n),тетрадь,quaderno
kopij,copie,copy,copia,"Abschrift, Kopie",копия,copia
kopijo,copier,copy (to),copiar,"Abschreiben,kopieren",копировать,copiare
